solver,r,c,comp,time,sing_values
randomized,20000,400,17,0.3131308317184448,"[4647.130491872224, 4632.074509830497, 4626.709408021866, 4621.148683996788, 4616.2294655176365, 4611.946912199554, 4606.988004857466, 4099.87943385767, 0.44904326843568204, 0.44799749126915406, 0.446823522227162, 0.44633627963427275, 0.4451741459607349, 0.44480668805619655, 0.44365223105558, 0.44349192767324186, 0.4418817700093945]"
full,100000,600,14,6.052102017402649,"[9826.661133805503, 9809.787207290083, 9803.832428840125, 9795.585802411479, 9786.859771716707, 9784.091808266861, 9781.015706875512, 9778.199485272522, 9773.598606470689, 9770.625189461782, 9767.313810042431, 9090.860429464105, 0.9763469190151717, 0.9762063054543594]"
randomized,50000,800,19,1.5036700963974,"[7262.907200866179, 7249.008113685052, 7236.84071542793, 7235.245987943121, 7233.977665684405, 7224.4300022112175, 7217.315943088209, 7215.210382586323, 7212.691715201183, 7209.525351045788, 7203.301983597417, 7198.689892810977, 7197.036163031153, 7193.982040868208, 7187.501121125616, 6437.738436454006, 0.6994279814426966, 0.6983557995679229, 0.6969703866858546]"
randomized,20000,500,15,0.3954388618469238,"[4716.999064296414, 4708.638486998776, 4698.771192054113, 4696.939928542365, 4684.755600146226, 4677.638157842516, 4671.750009569899, 4669.208708517941, 4665.951079856966, 4082.9817447332366, 0.4543313854080873, 0.45262587339442, 0.45191379151259004, 0.45141774303501675, 0.45073423791718165]"
full,100000,900,4,11.400390267372131,"[9995.306715981116, 9986.82698370953, 9970.50822758997, 9967.018548754246]"
full,20000,900,19,2.106317138671875,"[4941.2149446742305, 4927.561694220759, 4922.236671774438, 4917.950959660196, 4909.128859210938, 4905.950906514539, 4904.149257763522, 4893.334367274959, 4886.709321985078, 4882.9326306892435, 4880.367316048451, 4875.8457835850795, 4871.2980782385175, 4867.418577116551, 4865.707964502694, 4861.248296804272, 4856.430420254019, 4068.351397157361, 0.4854144020209909]"
full,80000,800,4,7.7796542882919315,"[8968.282350418216, 8963.795430771605, 8952.274209743417, 8946.788686512167]"
full,30000,900,18,3.191508984565735,"[5855.914184098577, 5848.365378601145, 5840.420789495561, 5834.7364728716975, 5831.33700736384, 5821.602493393703, 5816.487835875597, 5814.219344792201, 5811.90089179875, 5809.855132380555, 5802.90743626881, 5797.676443299238, 5796.179339909874, 5790.808658649894, 5785.707842331928, 5780.852294424332, 5778.063746231505, 4980.5572488611715]"
full,20000,400,7,0.5356283187866211,"[4647.130491872219, 4632.074509830497, 4626.709408021868, 4621.148683996786, 4616.229465517636, 4611.946912199553, 4606.988004857468]"
full,80000,700,4,6.083651471138,"[8929.39415553451, 8914.937893667406, 8900.592517848401, 8898.42564402333]"
