solver,r,c,comp,time,sing_values
full,20000,900,18,3.914394855499268,"[49.41244519155414, 49.277466831496604, 49.22241158905296, 49.18059573493123, 49.09208150285429, 49.061584440222326, 49.042870727903455, 48.933435810740754, 48.86782138313019, 48.83532744034771, 48.807889654716426, 48.75880928421089, 48.713774798895486, 48.675264498344745, 48.66056599816919, 48.612573545481354, 48.58100960106934, 48.541499842878544]"
randomized,80000,700,4,0.9182915687561036,"[86.37050046187288, 86.15298259821918, 86.11832739705298, 86.05734708894697]"
randomized,60000,100,4,0.367211103439331,"[72.31066346867428, 72.25661436578501, 72.16119133957206, 71.84304242524081]"
randomized,50000,200,8,0.3873553276062011,"[67.33492955700764, 67.01318131792628, 66.8476209763805, 66.70896204093368, 66.54489728109652, 66.50255392149461, 66.40468180583618, 66.32447408911611]"
full,10000,400,6,0.1802396774291992,"[34.466731478179845, 34.40372387146493, 34.31678848174382, 34.300890161617644, 34.21628173300483, 34.12227559071859]"
randomized,30000,100,10,0.3417870998382568,"[52.06200658108217, 51.846864707887455, 51.6891285218867, 51.48022897937605, 51.38935603342487, 51.335381276364565, 51.28205884717339, 51.245284257217875, 51.13627669704338, 50.98204483918987]"
full,40000,800,12,1.7197401523590088,"[65.75154756944725, 65.6370446159652, 65.59869951611388, 65.49720196967031, 65.48653311681613, 65.45792128939239, 65.35601651960044, 65.30130045808099, 65.27455707811413, 65.21691469354754, 65.17581505289034, 65.16441161796897]"
randomized,20000,500,6,0.3728563785552978,"[46.13776627694235, 45.92766464956902, 45.799520978548564, 45.74721763759131, 45.514108468036085, 45.50616927545479]"
randomized,50000,700,1,0.6563384532928467,[70.02648461713524]
randomized,20000,700,16,0.6090660095214844,"[47.29947693046559, 47.17438900453699, 47.09668738671734, 47.07085407025074, 46.88815528880962, 46.74040864017078, 46.660042761114205, 46.55831621934565, 46.502505319853505, 46.38881289043436, 46.38105348331275, 46.20443094718306, 46.11268933720355, 46.044139571397366, 45.940428986616126, 45.8386128005187]"
randomized,70000,100,4,0.2661812305450439,"[77.95569258635861, 77.73302376528763, 77.7191360116341, 77.41014458304055]"
randomized,40000,100,10,0.611746072769165,"[59.70421679146026, 59.465943382475466, 59.30886363128988, 59.24485968106519, 59.12666186614756, 59.11065997671331, 58.948305435002794, 58.81022797868556, 58.737665297748975, 58.6730753549152]"
randomized,20000,300,8,0.5631513595581055,"[44.68569856770106, 44.51309506394215, 44.4210591768527, 44.39089871932473, 44.16816535142026, 44.1159679032914, 43.98632790610592, 43.889620118038614]"
full,20000,300,1,0.2235584259033203,[45.73789474016504]
randomized,100000,400,8,0.9404337406158448,"[94.47446220140417, 94.25433102181701, 94.20493676742574, 94.12832951275064, 94.12613425888061, 93.90184005393967, 93.77720433329644, 93.69304797292573]"
randomized,20000,300,14,0.6321976184844971,"[44.894516515622406, 44.71516359103228, 44.523666426473085, 44.47491723898708, 44.35370230532516, 44.26616154871297, 44.10682324588962, 44.055216544344255, 43.913648800910494, 43.87205072678036, 43.85710958157283, 43.72819827723097, 43.614538317041024, 43.494457995774454]"
randomized,30000,600,4,0.6773903369903564,"[55.493978633873716, 55.20551340242175, 54.98871004936912, 54.811544423137796]"
randomized,70000,300,4,0.6963965892791748,"[79.35885847332598, 79.2636658802564, 79.02441540299155, 78.95484788404728]"
randomized,60000,700,14,1.3239233493804932,"[76.17394901080984, 76.04109398768003, 75.92165157493707, 75.7226801724628, 75.69112997390171, 75.57206605728496, 75.44354796073421, 75.35801811487144, 75.24382291925079, 75.16842057846277, 75.11002396731128, 74.95647365639184, 74.85914292863242, 74.76654390667811]"
full,30000,700,14,1.4555778503417969,"[57.544783690916624, 57.487511804998746, 57.41656104672261, 57.32286119938212, 57.26160727254033, 57.222158254092825, 57.12454410488517, 57.04715372209386, 57.03542120297532, 56.97377720952654, 56.92385186513544, 56.906114643426505, 56.89042706344912, 56.84982424697136]"
full,20000,400,14,0.2863960266113281,"[46.472583479715986, 46.32348726771272, 46.26756047119298, 46.21325269297965, 46.164044486691594, 46.13219158376189, 46.087861878784544, 45.9688582955105, 45.904290109432544, 45.886965543357235, 45.84632946338784, 45.81412307028438, 45.744724597625776, 45.685055412025754]"
full,60000,900,16,3.047471761703491,"[79.28958620794785, 79.16133700349546, 79.098621719063, 79.02931059326578, 78.996271786059, 78.96545338180218, 78.86923320125409, 78.81008545156301, 78.79159582325777, 78.73948542356084, 78.72398992775815, 78.6531050676404, 78.62816155084845, 78.57587449364448, 78.55395117555376, 78.49574388065345]"
randomized,40000,300,8,0.650848388671875,"[61.22278806980774, 61.085727865315015, 61.018038584439694, 60.869729809576654, 60.75299713532967, 60.649305733104946, 60.522908704235846, 60.33260426283549]"
randomized,60000,100,8,0.4504449367523193,"[72.54585453452115, 72.35807522653559, 72.08172169043235, 72.033521369725, 71.9214067547423, 71.85374077472059, 71.72535299027142, 71.58561464742088]"
full,80000,200,6,1.716827630996704,"[85.5696513726171, 85.46291857812594, 85.33332383991794, 85.28736651645868, 85.2166061765474, 85.19418140942152]"
randomized,50000,800,16,1.3144361972808838,"[70.6426958773394, 70.59772445078448, 70.4459694924523, 70.33140633024857, 70.22947099816567, 70.17708328665236, 70.04142303174926, 69.97695398854516, 69.9062469757611, 69.82770162367213, 69.74007983523744, 69.60739673317623, 69.52980620269449, 69.39898750191854, 69.29952338110027, 69.2139012356259]"
full,50000,300,4,1.098130226135254,"[69.65049979728107, 69.33510001239102, 69.24593952234513, 69.18871279644708]"
randomized,30000,800,1,0.5955727100372314,[56.19942734372901]
randomized,30000,200,14,0.4705440998077392,"[53.149001040362236, 52.88031729378915, 52.683585925685954, 52.56309948530282, 52.49954581330786, 52.36295828133509, 52.23234691433111, 52.13820788607802, 52.02867794278244, 51.99120842579205, 51.85159063598058, 51.813753679095385, 51.75316588620564, 51.66502563568363]"
randomized,10000,1000,20,1.1590313911437988,"[37.10675300870251, 37.01847093541358, 37.01320730341978, 36.87630521518483, 36.80279665410332, 36.78049254590068, 36.690729851350866, 36.603480144457244, 36.54718398431265, 36.53496948298867, 36.49947601745115, 36.246692159449715, 36.153385740256866, 36.13779071873519, 36.07388300926687, 36.01418061103513, 35.94559990360244, 35.88197363694001, 35.842191102270334, 35.72629200972413]"
full,50000,1000,6,3.0272741317749023,"[73.7003659114524, 73.47510854679764, 73.45515732575402, 73.43056694266082, 73.36813599395556, 73.34182538756657]"
full,100000,700,12,4.553745031356812,"[98.91588555472975, 98.79780235232481, 98.67582223965312, 98.62133834013775, 98.56604473390131, 98.52537807489212, 98.47766827994418, 98.41385780656408, 98.34993375084449, 98.28359025742476, 98.24904121113605, 98.20555601570949]"
full,10000,300,20,0.1106050014495849,"[33.7379478116755, 33.616884087775766, 33.471876799010644, 33.39123212710757, 33.33875950094799, 33.29055740414972, 33.2430992322697, 33.203736804354975, 33.19967375178993, 33.13085166928143, 33.0750650629375, 33.035724212564794, 32.956545908148165, 32.90412220247953, 32.863652168503954, 32.79927456623153, 32.78858290669509, 32.71127467668833, 32.67889600098868, 32.585955966752145]"
randomized,40000,100,16,0.5302004814147949,"[59.68955959921883, 59.61109830948584, 59.52935174390767, 59.44213270551713, 59.318778054134796, 59.13475161638395, 59.11605696100575, 58.97925644188149, 58.92001126068405, 58.77287345719449, 58.729338639187716, 58.639173693762416, 58.52645421054344, 58.4518012976026, 58.34002018946586, 58.26876257997661]"
full,20000,400,10,0.3033585548400879,"[46.472583479715986, 46.32348726771272, 46.26756047119298, 46.21325269297965, 46.164044486691594, 46.13219158376189, 46.087861878784544, 45.9688582955105, 45.904290109432544, 45.886965543357235]"
randomized,60000,800,4,0.9235646724700928,"[76.51264716245389, 76.28461735198604, 76.09967571089702, 75.86646213406723]"
